03-19 23:52:23: Training starting...
03-19 23:52:24: New best reward -6.9 (-100.0%) at episode 0, saving model...
03-19 23:52:24: New best reward -6.3 (-8.7%) at episode 6, saving model...
03-19 23:52:24: New best reward -5.1 (-19.0%) at episode 23, saving model...
03-19 23:52:25: New best reward -3.3 (-35.3%) at episode 58, saving model...
03-19 23:52:25: New best reward -2.7 (-18.2%) at episode 102, saving model...
03-19 23:52:27: New best reward 1.5 (-155.6%) at episode 186, saving model...
03-19 23:52:29: New best reward 2.7 (+80.0%) at episode 300, saving model...
03-19 23:52:29: New best reward 3.9 (+44.4%) at episode 327, saving model...
03-19 23:52:35: New best reward 6.8 (+74.4%) at episode 608, saving model...
03-19 23:52:38: New best reward 8.4 (+23.5%) at episode 791, saving model...
03-19 23:52:45: New best reward 15.0 (+78.6%) at episode 1188, saving model...
03-19 23:53:52: New best reward 22.4 (+49.3%) at episode 4075, saving model...
03-19 23:53:54: New best reward 26.9 (+20.1%) at episode 4133, saving model...
03-19 23:55:10: New best reward 28.1 (+4.5%) at episode 7065, saving model...
03-19 23:55:35: New best reward 31.9 (+13.5%) at episode 7879, saving model...
03-19 23:56:01: New best reward 32.8 (+2.8%) at episode 8753, saving model...
03-19 23:56:05: New best reward 38.7 (+18.0%) at episode 8876, saving model...
03-19 23:56:28: New best reward 55.5 (+43.4%) at episode 9720, saving model...
